sortedformula,icsdnum,energyperatom,reduced_composition
As4F6S4,24411.0,-4.504496276607143,As2F3S2
As2F7K1,36332.0,-4.6864524415,As2F7K1
As2Fe1,65168.0,-5.16835816667,As2Fe1
As2Fe2Rb1,167329.0,-4.7833484,As2Fe2Rb1
As2Fe2Sr1,610527.0,-5.171135,As2Fe2Sr1
As2Ga1K2,300142.0,-3.406533125,As2Ga1K2
As2Ga1K2Li1,401208.0,-3.32693808333,As2Ga1K2Li1
As2Ga1K2Na1,300129.0,-3.14648541667,As2Ga1K2Na1
As2Ga1Li1Na2,402111.0,-3.371336125,As2Ga1Li1Na2
As2Ga1Rb2,300143.0,-3.338837125,As2Ga1Rb2
As2Ga2Sr1,422527.0,-4.05532725,As2Ga2Sr1
As2Ge1,23872.0,-4.68297920833,As2Ge1
As2Ge1K2,71222.0,-3.6298881,As2Ge1K2
As2Ge1Mg1,182368.0,-4.1398645,As2Ge1Mg1
As2Ge1Te4,68111.0,-3.81966571429,As2Ge1Te4
As2Ge1Zn1,610626.0,-3.961797875,As2Ge1Zn1
As2Ge2Te5,68112.0,-3.84678788889,As2Ge2Te5
As2Ge3Te6,68113.0,-3.86521372727,As2Ge3Te6
As2Ge4Te7,68114.0,-3.87748623077,As2Ge4Te7
As2Ge5Te8,63174.0,-3.88737013333,As2Ge5Te8
As2Hf1,42916.0,-6.5453093333300005,As2Hf1
As2Hf1Ni4,610651.0,-5.10057692857,As2Hf1Ni4
As2Hf3,610637.0,-7.57460685,As2Hf3
As2Hg1K4,402573.0,-2.4474467142900003,As2Hg1K4
As2In1K2Li1,402147.0,-3.259494125,As2In1K2Li1
As2In1K2Na1,300137.0,-3.08816275,As2In1K2Na1
As2In1Na3,300139.0,-3.10547141667,As2In1Na3
As2Ir1,610739.0,-5.56375608333,As2Ir1
As2K2Ni1,300120.0,-3.4934847,As2K2Ni1
As2K2Pd1,32009.0,-3.4241896,As2K2Pd1
As2K2Pt1,610762.0,-3.5635928,As2K2Pt1
As2K2S6Sn1,281039.0,-4.26455327273,As2K2S6Sn1
As2K2Si1,40426.0,-3.8449331,As2K2Si1
As2K4Mn1S8,170312.0,-4.37126891667,As2K4Mn1S8
As2K4Zn1,409919.0,-2.60103157143,As2K4Zn1
As2La1,280294.0,-5.522420416669999,As2La1
As2La1Ni2,68147.0,-5.0148874,As2La1Ni2
As2La1Pd2,604343.0,-4.782079,As2La1Pd2
As2La1Rh2,610777.0,-5.4078338,As2La1Rh2
As2La1Ru2,602111.0,-5.8207945999999975,As2La1Ru2
As2Mg1Si1,182367.0,-4.383734375,As2Mg1Si1
As2Mg3,43990.0,-3.4207018,As2Mg3
As2Mn2Sr1,49020.0,-5.860697,As2Mn2Sr1
As2Mn2Zn1,39512.0,-5.1338402,As2Mn2Zn1
As2Mn3,73251.0,-6.4852787,As2Mn3
As2Mo1,16820.0,-5.7775475,As2Mo1
As2Na1,182161.0,-3.70779283333,As2Na1
As2Na1Sn2,82366.0,-3.977498,As2Na1Sn2
As2Na2Sn1,73307.0,-3.544083625,As2Na2Sn1
As2Nb1,81218.0,-5.98306366667,As2Nb1
As2Nb1Ni1,38412.0,-5.505021125,As2Nb1Ni1
As2Ni1,76940.0,-4.5812465,As2Ni1
As2Ni1Zr2,68141.0,-6.2389169,As2Ni1Zr2
As2Ni2Sr1,611078.0,-4.3476084,As2Ni2Sr1
As2Ni4Sc1,611064.0,-4.74245221429,As2Ni4Sc1
As2Ni4Y1,611100.0,-4.81377035714,As2Ni4Y1
As2Ni4Zr1,611111.0,-4.93437057143,As2Ni4Zr1
As2Ni5,15053.0,-4.23765871429,As2Ni5
As2P2S7,30706.0,-4.64718529545,As2P2S7
As2Pb1S4,24449.0,-4.4409800000000015,As2Pb1S4
As2Pb2S5,18122.0,-4.46731026389,As2Pb2S5
As2Pd1,43101.0,-4.36506333333,As2Pd1
As2Pd2Sr1,47170.0,-4.1508444,As2Pd2Sr1
As2Pt1,56021.0,-4.80746108333,As2Pt1
As2Pt1Rb2,107529.0,-3.4961274,As2Pt1Rb2
As2Pt2Sr1,418156.0,-4.45059365,As2Pt2Sr1
As2Rb2Si1,60617.0,-3.7789908,As2Rb2Si1
As2Rb2Sn1,71223.0,-3.4671513,As2Rb2Sn1
As2Rh1,657340.0,-5.07707483333,As2Rh1
As2Rh2Sr1,417001.0,-4.7498972,As2Rh2Sr1
As2Ru1,611294.0,-5.48551783333,As2Ru1
As2Ru2Sr1,165118.0,-5.230533,As2Ru2Sr1
As2S3,15239.0,-4.46748035,As2S3
As2Sc3,16411.0,-6.03306375,As2Sc3
As2Se3,44058.0,-4.0702573,As2Se3
As2Si1,611405.0,-4.98504175,As2Si1
As2Si1Zn1,611414.0,-4.194868375,As2Si1Zn1
As2Sn1Zn1,250389.0,-3.833758875,As2Sn1Zn1
As2Sn2Sr1,611428.0,-4.354196400000001,As2Sn2Sr1
As2Sr1Zn2,23248.0,-3.3649682,As2Sr1Zn2
As2Te3,54097.0,-3.7605833,As2Te3
As2Ti1,20488.0,-5.54585354167,As2Ti1
As2V1,611574.0,-5.48746,As2V1
As2V3,999.0,-6.23674335,As2V3
As2Zn1,611603.0,-3.66961779167,As2Zn1
As2Zn3,44023.0,-2.7649775375,As2Zn3
As2Zr1,168665.0,-6.13637975,As2Zr1
As2Zr3,611611.0,-6.8431469,As2Zr3
As3Ba1,86402.0,-4.59855275,As3Ba1
As3Ba2Cd2,420833.0,-3.57571742857,As3Ba2Cd2
As3Ba3In1,402338.0,-4.18683985714,As3Ba3In1
As3Ba5,43872.0,-3.9441821875,As3Ba5
As3Br1Cd2,75170.0,-3.19222483333,As3Br1Cd2
As3C1V5,609885.0,-6.468096888890001,As3C1V5
As3Ca1,86400.0,-4.55788375,As3Ca1
As3Ca2,43876.0,-4.473456175,As3Ca2
As3Ca3Ga1,60126.0,-4.29258578571,As3Ca3Ga1
As3Ca5,609889.0,-4.1005145,As3Ca5
As3Cd2I1,40449.0,-3.10297941667,As3Cd2I1
As3Cd4K1,262032.0,-2.582134375,As3Cd4K1
As3Cd4Na1,262035.0,-2.569077125,As3Cd4Na1
As3Cd4Rb1,262037.0,-2.56109925,As3Cd4Rb1
As3Co1,610045.0,-4.9100818125,As3Co1
As3Co1Hf5,85884.0,-7.37782111111,As3Co1Hf5
As3Cr4,66761.0,-6.47285628571,As3Cr4
As3Cr5,43899.0,-6.566888125,As3Cr5
As3Cu13S16V1,610353.0,-3.7430702878800006,As3Cu13S16V1
As3F6S4Sb1,24412.0,-4.557965175892857,As3F6S4Sb1
As3F6Sb1Se4,24413.0,-4.367216630357143,As3F6Sb1Se4
As3Ga2K2,300195.0,-3.63949960714,As3Ga2K2
As3Ga2Na2,300194.0,-3.64110078571,As3Ga2Na2
As3Ge1K1Na4,300204.0,-3.18231536111,As3Ge1K1Na4
As3Ge1Na5,300187.0,-3.18485658333,As3Ge1Na5
As3Hf1Na5,66026.0,-3.77056136111,As3Hf1Na5
As3In2K2,71244.0,-3.5107480000000004,As3In2K2
As3In2K3,300199.0,-3.2835335,As3In2K3
As3Ir1,610737.0,-5.412078625,As3Ir1
As3K5Pb3,55419.0,-3.1481364090900006,As3K5Pb3
As3La1Ni5,414080.0,-4.64790895833,As3La1Ni5
As3La1Si1,68205.0,-5.35548815,As3La1Si1
As3La1Zn3,261981.0,-3.71117432143,As3La1Zn3
As3La4,610771.0,-5.58251664286,As3La4
As3Mn4,80375.0,-6.40473264286,As3Mn4
As3Mo2,43184.0,-5.9828365,As3Mo2
As3Na1Zn4,262036.0,-2.7987355,As3Na1Zn4
As3Na5Si1,300188.0,-3.30135744444,As3Na5Si1
As3Na5Sn1,656058.0,-3.15144030556,As3Na5Sn1
As3Nb4,610987.0,-6.62503125,As3Nb4
As3Nb5,16417.0,-6.729843171880001,As3Nb5
As3Ni5Sr1,33915.0,-4.31916666667,As3Ni5Sr1
As3Rb1Zn4,262038.0,-2.78425325,As3Rb1Zn4
As3Rb2,409381.0,-3.6002062000000006,As3Rb2
As3Rb5Si1,300191.0,-3.08687186111,As3Rb5Si1
As3Rh1,34052.0,-5.03720825,As3Rh1
As3Sc5,41677.0,-5.967676375,As3Sc5
As3Sn4,419884.0,-4.36800914286,As3Sn4
As3Sr1,41831.0,-4.51489275,As3Sr1
As3Sr2Zn2,262413.0,-3.62507128571,As3Sr2Zn2
As3Sr4,402110.0,-4.08951071429,As3Sr4
As3Sr5,611444.0,-3.8526718125,As3Sr5
As3Ti4,611492.0,-5.9953115,As3Ti4
As3Ti5,611496.0,-6.04264846875,As3Ti5
As3V4,15049.0,-6.20482692857,As3V4
As3V5,44086.0,-6.2799550625,As3V5
As3W2,43185.0,-6.7254218,As3W2
As4Ba1Cu8,66017.0,-3.09102476923,As4Ba1Cu8
As4Ba3Li4,280027.0,-3.83809963636,As4Ba3Li4
As4Ba3Si2,41183.0,-4.72230161111,As4Ba3Si2
As4Ba3Sn2,30702.0,-4.42105538889,As4Ba3Sn2
As4Ba4Ge1,26468.0,-4.383432625,As4Ba4Ge1
As4Ba4Si1,26467.0,-4.50172138889,As4Ba4Si1
As4Ba4Ti1,380115.0,-4.62852058333,As4Ba4Ti1
As4Ca1Rh6,89612.0,-4.93306581818,As4Ca1Rh6
As4Ca3In2,61336.0,-4.17066244444,As4Ca3In2
As4Ca3Si2,16456.0,-4.76348805556,As4Ca3Si2
As4Cd2Ge1,42132.0,-3.66604828571,As4Cd2Ge1
As4Cl1Cu1S3,419754.0,-4.126976277780002,As4Cl1Cu1S3
As4Cl2Cu2S3,419755.0,-3.83577372727,As4Cl2Cu2S3
As4Cu12S13,26724.0,-3.592828,As4Cu12S13
As4Cu3,41169.0,-3.42401564286,As4Cu3
As4Cu6S9,66660.0,-3.82581297368,As4Cu6S9
As4Ga1Na3Sr3,402286.0,-3.60958909091,As4Ga1Na3Sr3
As4Ga2Sr3,423785.0,-4.17104705556,As4Ga2Sr3
As4Ga3K3,40206.0,-3.56728325,As4Ga3K3
As4Ge19I4,22033.0,-4.25143064815,As4Ge19I4
As4Ge1Te7,41107.0,-3.78954108333,As4Ge1Te7
As4Ge2Sr3,16454.0,-4.4558855277800005,As4Ge2Sr3
As4Ge3,163833.0,-4.63355542857,As4Ge3
As4Hf7,610634.0,-7.640203818180001,As4Hf7
As4K4Sn1Sr2,411104.0,-3.4469988484800007,As4K4Sn1Sr2
As4K7Nb1,380109.0,-3.26239366667,As4K7Nb1
As4Mg1,1079.0,-4.2610533,As4Mg1
As4Mg1Rh6,89611.0,-4.77621572727,As4Mg1Rh6
As4Mn5,73252.0,-6.35803177778,As4Mn5
As4Mo5,43186.0,-6.423107,As4Mo5
As4Na5,182165.0,-3.19465977778,As4Na5
As4Na8Ti1,73310.0,-3.20352261538,As4Na8Ti1
As4Nb1Rb7,380111.0,-3.132429125,As4Nb1Rb7
As4Nb5Pd4,412866.0,-5.571646307690001,As4Nb5Pd4
As4Nb7,610986.0,-6.74123922727,As4Nb7
As4Pb9S15,18097.0,-4.45864139286,As4Pb9S15
As4Rh6Sr1,89613.0,-4.87275818182,As4Rh6Sr1
As4S3,16145.0,-4.54217553571,As4S3
As4S5,98901.0,-4.49062766667,As4S5
As4Si2Sr3,16453.0,-4.66796972222,As4Si2Sr3
As4Si3,163832.0,-4.99642157143,As4Si3
As4Sn3,163834.0,-4.398694,As4Sn3
As4Sr3,100110.0,-4.34250907143,As4Sr3
As4Sr4Ti1,380113.0,-4.56183394444,As4Sr4Ti1
As4Zr7,611614.0,-6.848572818180001,As4Zr7
As5Ba1Ni9,33919.0,-4.35813353333,As5Ba1Ni9
As5Ba2In5,161775.0,-3.93712575,As5Ba2In5
As5Fe12,38073.0,-5.70361247059,As5Fe12
As5I1Te7,31877.0,-3.60818938462,As5I1Te7
As5K6Sn3,71009.0,-3.4315400892900003,As5K6Sn3
As5K8Nb1Pb1,281026.0,-3.33279641667,As5K8Nb1Pb1
As6Ba1Co10,92463.0,-4.76028697059,As6Ba1Co10
As6Ba1Pt4,62519.0,-4.716979,As6Ba1Pt4
As6Bi1K3Se12,180763.0,-3.94877336364,As6Bi1K3Se12
As6Ca5Ga2,27.0,-4.33178842308,As6Ca5Ga2
As6Ca5Sn2,61037.0,-4.400947038459999,As6Ca5Sn2
As6Cu7Se13,15235.0,-3.465497,As6Cu7Se13
As6Ir7Mg4,94393.0,-4.93163635294,As6Ir7Mg4
As6Mg4Rh7,94391.0,-4.48066658824,As6Mg4Rh7
As6Pt4Sr1,62518.0,-4.7028050000000015,As6Pt4Sr1
As6Sn2Sr5,262646.0,-4.31010319231,As6Sn2Sr5
As7Br1Cu1P1S7,262252.0,-4.34838797059,As7Br1Cu1P1S7
As7Ca2Ni12,609908.0,-4.3362107619,As7Ca2Ni12
As7Cl1Cu1P1S7,262251.0,-4.37748780882,As7Cl1Cu1P1S7
As7Co12Mg2,94408.0,-4.55538604762,As7Co12Mg2
As7K2Ni12,300138.0,-4.03145985714,As7K2Ni12
As7Mg6Ni16,78834.0,-3.86350889655,As7Mg6Ni16
As7Mn6Ni16,604384.0,-4.97527262069,As7Mn6Ni16
As7Na3,409658.0,-3.9253329375,As7Na3
As7Nb9Pd1,280719.0,-6.4105414902,As7Nb9Pd1
As7Ni12Y2,611099.0,-4.71833747619,As7Ni12Y2
As7Rb3,412597.0,-3.9155127875,As7Rb3
As8Ni11,34853.0,-4.41737625,As8Ni11
As8S9,184513.0,-4.50802044118,As8S9
As9Cu2I2P3S9,262028.0,-4.28850336,As9Cu2I2P3S9
Au12K23Sn9,248047.0,-2.19830204545,Au12K23Sn9
Au1B2,52699.0,-4.41054366667,Au1B2
Au1Ba1Bi1,106269.0,-3.22674,Au1Ba1Bi1
Au1Ba1P1,420340.0,-3.88039333333,Au1Ba1P1
Au1Ba1Sb1,280954.0,-3.50914116667,Au1Ba1Sb1
Au1Ba4Na1O8,73189.0,-5.32888628571,Au1Ba4Na1O8
Au1Be1,58396.0,-2.819459125,Au1Be1
Au1Be12,109312.0,-3.51207884615,Au1Be12
Au1Be5,611643.0,-3.46906333333,Au1Be5
Au1Bi1Br6,407220.0,-2.40621778125,Au1Bi1Br6
Au1Bi1Ca1,58399.0,-3.29875933333,Au1Bi1Ca1
Au1Bi1Cl6,407221.0,-2.74953234375,Au1Bi1Cl6
Au1Bi1K2,380341.0,-2.442661875,Au1Bi1K2
Au1Bi1Li2,261785.0,-2.81815275,Au1Bi1Li2
Au1Bi1Na2,261790.0,-2.479632625,Au1Bi1Na2
Au1Bi1Sr1,106271.0,-2.85717,Au1Bi1Sr1
Au1Bi8Br9Sb1,416287.0,-3.24543555263,Au1Bi8Br9Sb1
Au1Bi9Br9,419790.0,-3.22783392105,Au1Bi9Br9
Au1Br1,200287.0,-1.88900825,Au1Br1
Au1Br1Se1,2897.0,-2.430166,Au1Br1Se1
Au1Br3,4069.0,-1.810837,Au1Br3
Au1Br3Rb1,9577.0,-2.3973524,Au1Br3Rb1
Au1Br4K1,280033.0,-2.30359895833,Au1Br4K1
Au1Br4Rb1,26022.0,-2.29909941667,Au1Br4Rb1
Au1Br8Te1,63129.0,-2.05198115,Au1Br8Te1
Au1C2N2Rb1S2,159002.0,-5.80071290625,Au1C2N2Rb1S2
Au1Ca1P1,52661.0,-3.907741,Au1Ca1P1
Au1Ca1Sb1,52662.0,-3.41016016667,Au1Ca1Sb1
Au1Ca2N1,85528.0,-4.34130025,Au1Ca2N1
Au1Ca3N1,72942.0,-3.944989,Au1Ca3N1
Au1Cd1Rb1S2,85582.0,-3.0917197999999995,Au1Cd1Rb1S2
Au1Cd1Sb1,52663.0,-2.32117466667,Au1Cd1Sb1
Au1Cl1Te2,16324.0,-2.7117345,Au1Cl1Te2
Au1Cl2,201436.0,-2.06752925,Au1Cl2
Au1Cl4K1,73080.0,-2.61102491667,Au1Cl4K1
Au1Cl4N5S5,61254.0,-4.53253623333,Au1Cl4N5S5
Au1Cl4Na1,63135.0,-2.55731010417,Au1Cl4Na1
Au1Cl4P1,73081.0,-3.01894870833,Au1Cl4P1
Au1Cl4Rb1,26021.0,-2.60372466667,Au1Cl4Rb1
Au1Cl5S1,39532.0,-2.39493703571,Au1Cl5S1
Au1Cl7S1,63112.0,-2.32513291667,Au1Cl7S1
Au1Cl7Se1,62511.0,-2.33302236111,Au1Cl7Se1
Au1Cl7Te1,61350.0,-2.43404733333,Au1Cl7Te1
Au1Cl8P1,62236.0,-2.704444625,Au1Cl8P1
Au1Co1Na4O5,36661.0,-4.52856054545,Au1Co1Na4O5
Au1Cr1S2,88852.0,-4.96624425,Au1Cr1S2
Au1Cr1Te4,150279.0,-3.81623483333,Au1Cr1Te4
Au1Cr3O8,155508.0,-6.64004233333,Au1Cr3O8
Au1Cu1Se4,93052.0,-3.0396838333300003,Au1Cu1Se4
Au1Cu1Sn1,611768.0,-2.6976565,Au1Cu1Sn1
Au1Cu3Sn1,611766.0,-2.3120727000000003,Au1Cu3Sn1
Au1Ga1Li2,58461.0,-2.6203345,Au1Ga1Li2
Au1Ga1O2,95666.0,-4.86079775,Au1Ga1O2
Au1Ge1K1S3,408684.0,-3.9342140625,Au1Ge1K1S3
Au1Ge1Li2,52668.0,-2.9991285,Au1Ge1Li2
Au1Ge1Na1,78866.0,-2.84691633333,Au1Ge1Na1
Au1Ge1Sc1,81733.0,-4.48008783333,Au1Ge1Sc1
Au1Ge1Y1,405323.0,-4.72849533333,Au1Ge1Y1
Au1Ge4K3,413728.0,-3.2168965625,Au1Ge4K3
Au1Ge4Rb3,413724.0,-3.1567785,Au1Ge4Rb3
Au1I1,24619.0,-1.773452125,Au1I1
Au1I1Te1,1661.0,-2.26887025,Au1I1Te1
Au1I1Te2,16325.0,-2.477836125,Au1I1Te2
Au1I3K1,32036.0,-2.15210525,Au1I3K1
Au1I3Rb1,170791.0,-2.1488654,Au1I3Rb1
Au1I4K1,406966.0,-2.04967433333,Au1I4K1
Au1I4Li1,406967.0,-2.05929733333,Au1I4Li1
Au1In1Li2,58497.0,-2.51425825,Au1In1Li2
Au1In1O2,95672.0,-4.614488375,Au1In1O2
Au1K1N12,416489.0,-6.66002603571,Au1K1N12
Au1K1Na2O2,61226.0,-3.67011558333,Au1K1Na2O2
Au1K1O2,15115.0,-3.95936575,Au1K1O2
Au1K1P2S7,165325.0,-4.2544483181800015,Au1K1P2S7
Au1K1S1,656711.0,-3.10336916667,Au1K1S1
Au1K1S5,84000.0,-3.69470082143,Au1K1S5
Au1K1Se1,656713.0,-2.881473,Au1K1Se1
Au1K1Se2,84003.0,-3.024585,Au1K1Se2
Au1K1Se5,67372.0,-3.24119471429,Au1K1Se5
Au1K1Te1,71651.0,-2.68588116667,Au1K1Te1
Au1K2P1,300201.0,-2.8226975,Au1K2P1
Au1K2P1S4,85679.0,-4.0071855625,Au1K2P1S4
Au1K2Sb1,380340.0,-2.541940875,Au1K2Sb1
Au1K3O1,79086.0,-2.7910596,Au1K3O1
Au1K3P2Se8,165321.0,-3.69705396429,Au1K3P2Se8
Au1K3Se13,67373.0,-3.35446738235,Au1K3Se13
Au1K3Se2,402000.0,-2.99978858333,Au1K3Se2
Au1K3Sn4,107444.0,-2.981194875,Au1K3Sn4
Au1K5P2,40700.0,-2.6312951875,Au1K5P2
Au1La1O3,73873.0,-6.0728082,Au1La1O3
Au1Li1Mg1Sn1,16477.0,-2.6505025,Au1Li1Mg1Sn1
Au1Li1S1,280534.0,-3.33459733333,Au1Li1S1
Au1Li1Sb1,107996.0,-2.91708133333,Au1Li1Sb1
Au1Li1Sn1,412208.0,-2.93816716667,Au1Li1Sn1
Au1Li2Pb1,58528.0,-2.716042,Au1Li2Pb1
Au1Li2Sb1,58529.0,-2.93141375,Au1Li2Sb1
Au1Li2Sn1,58533.0,-2.90508975,Au1Li2Sn1
Au1Li2Sn2,55349.0,-3.1377575,Au1Li2Sn2
Au1Li3,58524.0,-2.255267,Au1Li3
Au1Li3S2,280535.0,-3.66927725,Au1Li3S2
Au1Mg1Sn1,159391.0,-2.847271,Au1Mg1Sn1
Au1Mn1Sb1,52673.0,-4.51252766667,Au1Mn1Sb1
Au1Mn1Sn1,54465.0,-3.188673,Au1Mn1Sn1
Au1N1,167866.0,-3.313003,Au1N1
Au1N12Rb1,416488.0,-6.65614332143,Au1N12Rb1
Au1N1Sr2,95826.0,-4.013172125,Au1N1Sr2
Au1N1V3,58547.0,-6.1827762,Au1N1V3
Au1N2,166465.0,-5.31977266667,Au1N2
Au1Na1O2,409547.0,-3.982095,Au1Na1O2
Au1Na1S1,165258.0,-3.08630860417,Au1Na1S1
Au1Na1Se2,84004.0,-2.995816625,Au1Na1Se2
Au1Na1Sn1,58554.0,-2.7009985,Au1Na1Sn1
Au1Na1Te1,71650.0,-2.61657416667,Au1Na1Te1
Au1Na2O2Rb1,411460.0,-3.62468333333,Au1Na2O2Rb1
Au1Na2Sb1,23255.0,-2.5810565,Au1Na2Sb1
Au1Na2Sn3,107556.0,-2.972402,Au1Na2Sn3
Au1Na3O2,62066.0,-3.70709958333,Au1Na3O2
Au1Na3S2,202329.0,-3.23911558333,Au1Na3S2
Au1Na5Se12,85954.0,-3.27996922222,Au1Na5Se12
Au1Ni2Sn4,150127.0,-3.80378028571,Au1Ni2Sn4
Au1O1Rb1,409552.0,-3.40889266667,Au1O1Rb1
Au1O1Rb3,79087.0,-2.6372774,Au1O1Rb3
Au1O2Rb1,15116.0,-3.939570125,Au1O2Rb1
Au1O2Sc1,95669.0,-6.446011125,Au1O2Sc1
Au1O2Y1,95675.0,-6.5472325,Au1O2Y1
Au1P1S4,413009.0,-4.10143083333,Au1P1S4
Au1Rb1S1,71654.0,-3.0588405,Au1Rb1S1
Au1Rb1Se1,402190.0,-2.8414490000000003,Au1Rb1Se1
Au1Rb1Te1,71652.0,-2.65463016667,Au1Rb1Te1
Au1Rb2S4Sb1,54507.0,-3.7022039375,Au1Rb2S4Sb1
Au1Rb3Sn4,107445.0,-2.92465075,Au1Rb3Sn4
Au1S2V1,96089.0,-4.767539125,Au1S2V1
Au1Sb1Sr1,106292.0,-3.24663816667,Au1Sb1Sr1
Au1Sb2,40350.0,-3.3519370000000004,Au1Sb2
Au1Sb3,43504.0,-3.49314625,Au1Sb3
Au1Sc1Si1,71998.0,-4.74705366667,Au1Sc1Si1
Au1Sc1Sn1,245754.0,-4.296682,Au1Sc1Sn1
Au1Se1,73668.0,-2.712334375,Au1Se1
Au1Si1Y1,72000.0,-4.98906683333,Au1Si1Y1
Au1Sn1,612356.0,-3.0181885,Au1Sn1
Au1Sn1Sr1,412013.0,-3.19051716667,Au1Sn1Sr1
Au1Sn1Y1,415826.0,-4.514077,Au1Sn1Y1
Au1Sn2,58587.0,-3.34557808333,Au1Sn2
Au1Sn4,612348.0,-3.6052475,Au1Sn4
Au1Te2,612391.0,-2.75560729167,Au1Te2
Au21K12Sn4,249980.0,-2.1321721351400003,Au21K12Sn4
Au2Ba1O4,80327.0,-4.64209578571,Au2Ba1O4
Au2Ba1Sb2,416298.0,-3.3325526,Au2Ba1Sb2
Au2Be1,150581.0,-2.50486033333,Au2Be1
Au2Bi1,52284.0,-2.574072,Au2Bi1
Au2Ca1Ge2,25333.0,-3.3607518,Au2Ca1Ge2
Au2Ca1O4,83386.0,-4.68088242857,Au2Ca1O4
Au2Ca1Si2,412.0,-3.7050302,Au2Ca1Si2
Au2Ge2Sr1,25334.0,-3.352777,Au2Ge2Sr1
Au2K2S4Sn1,74022.0,-3.6095332777800007,Au2K2S4Sn1
Au2La1Si2,106686.0,-4.3031504,Au2La1Si2
Au2La4O9,74989.0,-6.759728083330001,Au2La4O9
Au2O3,8014.0,-3.6974237,Au2O3
Au2O4Sr1,80328.0,-4.64318857143,Au2O4Sr1
Au2O8Sr5,71965.0,-5.4161777333300005,Au2O8Sr5
Au2P2Pb1,412224.0,-3.7104449,Au2P2Pb1
Au2P3,8058.0,-4.049358,Au2P3
Au2S1,78718.0,-2.656315,Au2S1
Au2Sc2Sn1,130046.0,-4.2392898,Au2Sc2Sn1
Au2Si2Sr1,413.0,-3.657413,Au2Si2Sr1
Au2Si2Y1,55943.0,-4.484139,Au2Si2Y1
Au2Sn1Y2,658827.0,-4.51079755,Au2Sn1Y2
Au2Te3,23594.0,-2.62176291667,Au2Te3
Au3Ba4Ge20,181524.0,-4.21093283333,Au3Ba4Ge20
Au3Ba4Si20,40567.0,-4.759399500000002,Au3Ba4Si20
Au3C6Co1K1N6,201056.0,-6.579682235290001,Au3C6Co1K1N6
Au3Cl8Rb3,9578.0,-2.6935793928600003,Au3Cl8Rb3
Au3Ge1Na1,16463.0,-2.488495225,Au3Ge1Na1
Au3Ge1Sr1,262387.0,-2.8275087,Au3Ge1Sr1
Au3K1Sn3,249645.0,-2.89212392857,Au3K1Sn3
Au3K3Sb2,78977.0,-2.581338375,Au3K3Sb2
Au3La3Sb4,612105.0,-4.33865415,Au3La3Sb4
Au3Li1,58525.0,-2.1223125,Au3Li1
Au3Li1Na2,152090.0,-2.03664908333,Au3Li1Na2
Au3Li1Sn4,412207.0,-3.1316826875,Au3Li1Sn4
Au3Na1Si1,16462.0,-2.6598255,Au3Na1Si1
Au3O2Rb5,91308.0,-2.7510541,Au3O2Rb5
Au3P7Sn1,240776.0,-4.36959181818,Au3P7Sn1
Au3Rb1S5Sb2,85588.0,-3.58006445455,Au3Rb1S5Sb2
Au3Rb1Se2,82541.0,-2.686126,Au3Rb1Se2
Au3Rb3Sb2,78978.0,-2.5289555,Au3Rb3Sb2
Au3Sb4Y3,957.0,-4.60855985,Au3Sb4Y3
Au4Cd1K2S4,85583.0,-3.01444027273,Au4Cd1K2S4
Au4K1Sn2,58522.0,-2.5422102142900003,Au4K1Sn2
Au4K1Sn6,249644.0,-3.13073436364,Au4K1Sn6
Au4Li15,150973.0,-2.20788292105,Au4Li15
Au5Ba1Ge2,181528.0,-2.831276625,Au5Ba1Ge2
Au5K1P2S8,85682.0,-3.68580723437,Au5K1P2S8
Au5Na7S6,74408.0,-3.136367875,Au5Na7S6
Au5O2Rb7,95825.0,-2.4502028571400003,Au5O2Rb7
Au5Sn1,58589.0,-2.17466716667,Au5Sn1
Au6K4S5,202552.0,-3.0357047,Au6K4S5
Au6Rb4S5,82556.0,-3.00557013333,Au6Rb4S5
Au7Ge2K4,79111.0,-2.33171007692,Au7Ge2K4
Au7I1P10,8059.0,-3.907843,Au7I1P10
Au7Rb4Sn2,58581.0,-2.20920869231,Au7Rb4Sn2
B10Ni19Y3,615080.0,-5.18463465625,B10Ni19Y3
B10Rh14Sr5,66772.0,-5.27581172414,B10Rh14Sr5
B11Li1,164842.0,-6.16146575,B11Li1
B12Ba7Ir12,8156.0,-5.806029967740001,B12Ba7Ir12
B12Mg1Si2,416304.0,-6.294475716669999,B12Mg1Si2
B12Ni1,614986.0,-6.23684169231,B12Ni1
B12S1,150626.0,-6.1344423076900005,B12S1
B12Sc1,68028.0,-6.776647076919999,B12Sc1
B12Y1,615716.0,-6.82574315385,B12Y1
B12Zr1,615752.0,-6.89108176923,B12Zr1
B13Co1Y4,39466.0,-6.68373325,B13Co1Y4
B13N2,162801.0,-7.108401,B13N2
B13Ni1Y4,615084.0,-6.640614166669999,B13Ni1Y4
B13P2,23923.0,-6.2692992,B13P2
B14Ca7Rh20,66773.0,-5.4023055122,B14Ca7Rh20
B14Ga3Ni27,261502.0,-4.914566568180001,B14Ga3Ni27
B15Na1,18319.0,-6.40466859375,B15Na1
B16Ir19Mg10,163909.0,-5.71216375556,B16Ir19Mg10
B1Ba1Bi1S4,248222.0,-5.103705214290001,B1Ba1Bi1S4
B1Ba1F10P1,420597.0,-5.576860260256409,B1Ba1F10P1
B1Ba1Li1S3,82352.0,-5.101263875,B1Ba1Li1S3
